ubigeo,district,name,votes,percentage_valid,percentage_total
140101,LIMA,RENOVACION POPULAR,62332,29.247,26.642
140102,ANCON,PODEMOS PERU,9332,33.274,29.819
140103,ATE,PODEMOS PERU,98373,29.99,26.424
140104,BREÑA,RENOVACION POPULAR,22721,31.154,27.855
140105,CARABAYLLO,PODEMOS PERU,43980,27.819,24.397
140106,COMAS,PODEMOS PERU,79220,25.518,22.681
140107,CHACLACAYO,RENOVACION POPULAR,8111,28.42,25.513
140108,CHORRILLOS,RENOVACION POPULAR,47107,25.265,22.622
140109,LA VICTORIA,RENOVACION POPULAR,39609,29.61,26.297
140110,LA MOLINA,RENOVACION POPULAR,54075,46.748,43.465
140111,LINCE,RENOVACION POPULAR,22279,39.108,35.64
140112,LURIGANCHO,PODEMOS PERU,25400,25.108,22.069
140113,LURIN,PARTIDO DEMOCRATICO SOMOS PERU,11479,23.376,21.143
140114,MAGDALENA DEL MAR,RENOVACION POPULAR,21603,43.147,40.057
140115,MIRAFLORES,RENOVACION POPULAR,46868,55.853,51.559
140116,PACHACAMAC,PARTIDO DEMOCRATICO SOMOS PERU,16110,27.609,24.531
140117,PUEBLO LIBRE,RENOVACION POPULAR,28940,42.519,39.278
140118,PUCUSANA,PODEMOS PERU,2028,22.98,21.408
140119,PUENTE PIEDRA,PARTIDO DEMOCRATICO SOMOS PERU,41380,23.667,20.844
140120,PUNTA HERMOSA,RENOVACION POPULAR,1473,29.945,27.892
140121,PUNTA NEGRA,RENOVACION POPULAR,1147,25.671,23.186
140122,RIMAC,PODEMOS PERU,34803,29.214,26.248
140123,SAN BARTOLO,PODEMOS PERU,1149,23.774,22.041
140124,SAN ISIDRO,RENOVACION POPULAR,29441,61.644,57.229
140125,BARRANCO,RENOVACION POPULAR,11604,36.918,34.008
140126,SAN MARTIN DE PORRES,PODEMOS PERU,115410,31.661,27.752
140127,SAN MIGUEL,RENOVACION POPULAR,42193,41.662,38.424
140128,SANTA MARIA DEL MAR,RENOVACION POPULAR,416,43.02,36.978
140129,SANTA ROSA,PODEMOS PERU,3215,29.257,26.049
140130,SANTIAGO DE SURCO,RENOVACION POPULAR,104387,45.81,42.515
140131,SURQUILLO,RENOVACION POPULAR,25644,37.116,34.027
140132,VILLA MARIA DEL TRIUNFO,PODEMOS PERU,69215,27.7,24.32
140133,JESUS MARIA,RENOVACION POPULAR,32604,40.791,37.414
140134,INDEPENDENCIA,PODEMOS PERU,36433,29.024,25.547
140135,EL AGUSTINO,PODEMOS PERU,42002,35.504,31.41
140136,SAN JUAN DE MIRAFLORES,PODEMOS PERU,65353,27.519,24.271
140137,SAN JUAN DE LURIGANCHO,PODEMOS PERU,150546,27.215,23.628
140138,SAN LUIS,RENOVACION POPULAR,13953,32.559,30.287
140139,CIENEGUILLA,PODEMOS PERU,6720,35.156,31.579
140140,SAN BORJA,RENOVACION POPULAR,47091,55.021,51.305
140141,VILLA EL SALVADOR,PODEMOS PERU,83377,33.823,29.834
140142,LOS OLIVOS,PODEMOS PERU,59913,28.19,24.996
140143,SANTA ANITA,PODEMOS PERU,44712,31.899,29.336
